,Date,Time,Max_Temperature,Min_Temperature,Humidity,Barometer,Wind,Weather_fog,Weather_haze,Weather_light rain passing clouds,Weather_light rain scattered clouds,Weather_passing clouds,Weather_rain passing clouds,Weather_rain showers scattered clouds,Weather_scattered clouds,Weather_thunderstorms passing clouds,Weather_thunderstorms scattered clouds,Wind Direction
0,1 february 2024,00:00 — 06:00,28,27,88,1014,1,False,False,False,False,True,False,False,False,False,False,0.0
1,1 february 2024,06:00 — 12:00,32,26,77,1014,3,False,False,False,False,True,False,False,False,False,False,0.0
2,1 february 2024,12:00 — 18:00,34,24,72,1012,10,False,False,False,False,True,False,False,False,False,False,0.0
3,1 february 2024,18:00 — 00:00,26,25,91,1013,2,False,False,False,False,True,False,False,False,False,False,0.0
4,2 february 2024,00:00 — 06:00,26,25,93,1013,1,False,False,False,False,True,False,False,False,False,False,0.0
5,2 february 2024,06:00 — 12:00,32,25,82,1013,3,False,False,False,False,True,False,False,False,False,False,0.0
6,2 february 2024,12:00 — 18:00,34,26,77,1011,10,False,False,False,False,True,False,False,False,False,False,0.0
7,2 february 2024,18:00 — 00:00,27,26,92,1012,2,False,False,False,False,True,False,False,False,False,False,0.0
8,3 february 2024,00:00 — 06:00,27,26,92,1013,3,False,False,False,False,True,False,False,False,False,False,0.0
9,3 february 2024,06:00 — 12:00,31,26,83,1014,4,False,False,False,False,True,False,False,False,False,False,0.0
10,3 february 2024,12:00 — 18:00,32,29,76,1013,8,False,False,False,False,True,False,False,False,False,False,0.0
11,3 february 2024,18:00 — 00:00,29,27,86,1014,3,False,False,False,False,True,False,False,False,False,False,0.0
12,4 february 2024,00:00 — 06:00,27,26,91,1014,0,False,False,False,False,True,False,False,False,False,False,0.0
13,4 february 2024,06:00 — 12:00,32,26,82,1014,3,False,False,False,False,True,False,False,False,False,False,0.0
14,4 february 2024,12:00 — 18:00,34,32,61,1012,12,False,False,False,False,True,False,False,False,False,False,6.0
15,4 february 2024,18:00 — 00:00,32,28,80,1013,6,False,False,False,False,True,False,False,False,False,False,7.0
16,5 february 2024,00:00 — 06:00,28,27,85,1014,2,False,False,False,False,True,False,False,False,False,False,0.0
17,5 february 2024,06:00 — 12:00,33,27,75,1014,6,False,False,False,False,True,False,False,False,False,False,14.0
18,5 february 2024,12:00 — 18:00,34,27,70,1011,12,False,False,False,False,True,False,False,False,False,False,14.0
19,5 february 2024,18:00 — 00:00,28,27,88,1013,3,False,False,False,False,True,False,False,False,False,False,0.0
20,6 february 2024,00:00 — 06:00,27,26,92,1014,2,False,False,False,False,True,False,False,False,False,False,0.0
21,6 february 2024,06:00 — 12:00,32,26,75,1015,2,False,False,False,False,True,False,False,False,False,False,0.0
22,6 february 2024,12:00 — 18:00,35,31,59,1011,12,False,False,False,False,True,False,False,False,False,False,0.0
