Date,Time,Max Temperature,Min Temperature,Humidity,Barometer,Wind Direction,Wind,Weather
1 February 2024,00:00 — 06:00,28 °C,27 °C,88%,1014 mbar,N,1 km/h,Passing clouds
1 February 2024,06:00 — 12:00,32 °C,26 °C,77%,1014 mbar,N,3 km/h,Passing clouds
1 February 2024,12:00 — 18:00,34 °C,24 °C,72%,1012 mbar,N,10 km/h,Passing clouds
1 February 2024,18:00 — 00:00,26 °C,25 °C,91%,1013 mbar,N,2 km/h,Passing clouds
2 February 2024,00:00 — 06:00,26 °C,25 °C,93%,1013 mbar,N,1 km/h,Passing clouds
2 February 2024,06:00 — 12:00,32 °C,25 °C,82%,1013 mbar,N,3 km/h,Passing clouds
2 February 2024,12:00 — 18:00,34 °C,26 °C,77%,1011 mbar,N,10 km/h,Passing clouds
2 February 2024,18:00 — 00:00,27 °C,26 °C,92%,1012 mbar,N,2 km/h,Passing clouds
3 February 2024,00:00 — 06:00,27 °C,26 °C,92%,1013 mbar,N,3 km/h,Passing clouds
3 February 2024,06:00 — 12:00,31 °C,26 °C,83%,1014 mbar,N,4 km/h,Passing clouds
3 February 2024,12:00 — 18:00,32 °C,29 °C,76%,1013 mbar,N,8 km/h,Passing clouds
3 February 2024,18:00 — 00:00,29 °C,27 °C,86%,1014 mbar,N,3 km/h,Passing clouds
4 February 2024,00:00 — 06:00,27 °C,26 °C,91%,1014 mbar,N,0 km/h,Passing clouds
4 February 2024,06:00 — 12:00,32 °C,26 °C,82%,1014 mbar,N,3 km/h,Passing clouds
4 February 2024,12:00 — 18:00,34 °C,32 °C,61%,1012 mbar,W,12 km/h,Passing clouds
4 February 2024,18:00 — 00:00,32 °C,28 °C,80%,1013 mbar,WNW,6 km/h,Passing clouds
5 February 2024,00:00 — 06:00,28 °C,27 °C,85%,1014 mbar,N,2 km/h,Passing clouds
5 February 2024,06:00 — 12:00,33 °C,27 °C,75%,1014 mbar,NW,6 km/h,Passing clouds
5 February 2024,12:00 — 18:00,34 °C,27 °C,70%,1011 mbar,NW,12 km/h,Passing clouds
5 February 2024,18:00 — 00:00,28 °C,27 °C,88%,1013 mbar,N,3 km/h,Passing clouds
6 February 2024,00:00 — 06:00,27 °C,26 °C,92%,1014 mbar,N,2 km/h,Passing clouds
6 February 2024,06:00 — 12:00,32 °C,26 °C,75%,1015 mbar,N,2 km/h,Passing clouds
6 February 2024,12:00 — 18:00,35 °C,31 °C,59%,1011 mbar,N,12 km/h,Passing clouds
